session_id,input_sequence,next_field,input_sequence_ids,next_field_id
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification | income | profession | politically_exposed_person_status | us_person_status | business_relationship_nature,terms_and_conditions_acceptance,"[12, 18, 8, 7, 10, 15, 26, 14, 9, 16, 25, 24, 32, 2]",31
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification | income | profession | politically_exposed_person_status | us_person_status | business_relationship_nature | terms_and_conditions_acceptance,business_relationship_purpose,"[12, 18, 8, 7, 10, 15, 26, 14, 9, 16, 25, 24, 32, 2, 31]",3
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification | income | profession | politically_exposed_person_status | us_person_status | business_relationship_nature | terms_and_conditions_acceptance | business_relationship_purpose,beneficial_owner_information,"[12, 18, 8, 7, 10, 15, 26, 14, 9, 16, 25, 24, 32, 2, 31, 3]",1
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification | income | profession | politically_exposed_person_status | us_person_status | business_relationship_nature | terms_and_conditions_acceptance | business_relationship_purpose | beneficial_owner_information,ownership_and_control_information,"[12, 18, 8, 7, 10, 15, 26, 14, 9, 16, 25, 24, 32, 2, 31, 3, 1]",19
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification | income | profession | politically_exposed_person_status | us_person_status | business_relationship_nature | terms_and_conditions_acceptance | business_relationship_purpose | beneficial_owner_information | ownership_and_control_information,commercial_address,"[12, 18, 8, 7, 10, 15, 26, 14, 9, 16, 25, 24, 32, 2, 31, 3, 1, 19]",4
SESSION-0074F766,gender,contact_phone_number,[11],5
SESSION-0074F766,gender | contact_phone_number,physical_address,"[11, 5]",23
SESSION-0074F766,gender | contact_phone_number | physical_address,email_address,"[11, 5, 23]",8
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address,identification_document,"[11, 5, 23, 8]",13
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document,date_of_birth,"[11, 5, 23, 8, 13]",7
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document | date_of_birth,subscriber_type,"[11, 5, 23, 8, 13, 7]",30
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document | date_of_birth | subscriber_type,full_name,"[11, 5, 23, 8, 13, 7, 30]",10
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document | date_of_birth | subscriber_type | full_name,service_type,"[11, 5, 23, 8, 13, 7, 30, 10]",27
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document | date_of_birth | subscriber_type | full_name | service_type,payment_method,"[11, 5, 23, 8, 13, 7, 30, 10, 27]",21
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document | date_of_birth | subscriber_type | full_name | service_type | payment_method,paperless_billing_preference,"[11, 5, 23, 8, 13, 7, 30, 10, 27, 21]",20
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document | date_of_birth | subscriber_type | full_name | service_type | payment_method | paperless_billing_preference,internet_service_selection,"[11, 5, 23, 8, 13, 7, 30, 10, 27, 21, 20]",17
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document | date_of_birth | subscriber_type | full_name | service_type | payment_method | paperless_billing_preference | internet_service_selection,streaming_addons_selection,"[11, 5, 23, 8, 13, 7, 30, 10, 27, 21, 20, 17]",28
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document | date_of_birth | subscriber_type | full_name | service_type | payment_method | paperless_billing_preference | internet_service_selection | streaming_addons_selection,contract_type,"[11, 5, 23, 8, 13, 7, 30, 10, 27, 21, 20, 17, 28]",6
SESSION-0074F766,gender | contact_phone_number | physical_address | email_address | identification_document | date_of_birth | subscriber_type | full_name | service_type | payment_method | paperless_billing_preference | internet_service_selection | streaming_addons_selection | contract_type,subscriber_number,"[11, 5, 23, 8, 13, 7, 30, 10, 27, 21, 20, 17, 28, 6]",29
SESSION-01231F0E,date_of_birth,physical_address,[7],23
SESSION-01231F0E,date_of_birth | physical_address,contact_phone_number,"[7, 23]",5
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number,email_address,"[7, 23, 5]",8
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address,full_name,"[7, 23, 5, 8]",10
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address | full_name,identification_document,"[7, 23, 5, 8, 10]",13
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address | full_name | identification_document,subscriber_type,"[7, 23, 5, 8, 10, 13]",30
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address | full_name | identification_document | subscriber_type,gender,"[7, 23, 5, 8, 10, 13, 30]",11
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address | full_name | identification_document | subscriber_type | gender,payment_method,"[7, 23, 5, 8, 10, 13, 30, 11]",21
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address | full_name | identification_document | subscriber_type | gender | payment_method,paperless_billing_preference,"[7, 23, 5, 8, 10, 13, 30, 11, 21]",20
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address | full_name | identification_document | subscriber_type | gender | payment_method | paperless_billing_preference,phone_service_selection,"[7, 23, 5, 8, 10, 13, 30, 11, 21, 20]",22
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address | full_name | identification_document | subscriber_type | gender | payment_method | paperless_billing_preference | phone_service_selection,service_type,"[7, 23, 5, 8, 10, 13, 30, 11, 21, 20, 22]",27
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address | full_name | identification_document | subscriber_type | gender | payment_method | paperless_billing_preference | phone_service_selection | service_type,contract_type,"[7, 23, 5, 8, 10, 13, 30, 11, 21, 20, 22, 27]",6
SESSION-01231F0E,date_of_birth | physical_address | contact_phone_number | email_address | full_name | identification_document | subscriber_type | gender | payment_method | paperless_billing_preference | phone_service_selection | service_type | contract_type,subscriber_number,"[7, 23, 5, 8, 10, 13, 30, 11, 21, 20, 22, 27, 6]",29
SESSION-012B6A42,email_address,mobile_phone_number,[8],18
SESSION-012B6A42,email_address | mobile_phone_number,full_name,"[8, 18]",10
SESSION-012B6A42,email_address | mobile_phone_number | full_name,date_of_birth,"[8, 18, 10]",7
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth,home_address,"[8, 18, 10, 7]",12
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address,identification_document_type,"[8, 18, 10, 7, 12]",15
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address | identification_document_type,selfie_liveness_check,"[8, 18, 10, 7, 12, 15]",26
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address | identification_document_type | selfie_liveness_check,face_match_verification,"[8, 18, 10, 7, 12, 15, 26]",9
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address | identification_document_type | selfie_liveness_check | face_match_verification,identification_document_number,"[8, 18, 10, 7, 12, 15, 26, 9]",14
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number,assets,"[8, 18, 10, 7, 12, 15, 26, 9, 14]",0
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | assets,profession,"[8, 18, 10, 7, 12, 15, 26, 9, 14, 0]",25
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | assets | profession,income,"[8, 18, 10, 7, 12, 15, 26, 9, 14, 0, 25]",16
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | assets | profession | income,politically_exposed_person_status,"[8, 18, 10, 7, 12, 15, 26, 9, 14, 0, 25, 16]",24
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | assets | profession | income | politically_exposed_person_status,us_person_status,"[8, 18, 10, 7, 12, 15, 26, 9, 14, 0, 25, 16, 24]",32
SESSION-012B6A42,email_address | mobile_phone_number | full_name | date_of_birth | home_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | assets | profession | income | politically_exposed_person_status | us_person_status,terms_and_conditions_acceptance,"[8, 18, 10, 7, 12, 15, 26, 9, 14, 0, 25, 16, 24, 32]",31
SESSION-013C22EF,full_name,mobile_phone_number,[10],18
SESSION-013C22EF,full_name | mobile_phone_number,home_address,"[10, 18]",12
SESSION-013C22EF,full_name | mobile_phone_number | home_address,date_of_birth,"[10, 18, 12]",7
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth,email_address,"[10, 18, 12, 7]",8
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address,identification_document_type,"[10, 18, 12, 7, 8]",15
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address | identification_document_type,selfie_liveness_check,"[10, 18, 12, 7, 8, 15]",26
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address | identification_document_type | selfie_liveness_check,face_match_verification,"[10, 18, 12, 7, 8, 15, 26]",9
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address | identification_document_type | selfie_liveness_check | face_match_verification,identification_document_number,"[10, 18, 12, 7, 8, 15, 26, 9]",14
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number,profession,"[10, 18, 12, 7, 8, 15, 26, 9, 14]",25
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | profession,income,"[10, 18, 12, 7, 8, 15, 26, 9, 14, 25]",16
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | profession | income,assets,"[10, 18, 12, 7, 8, 15, 26, 9, 14, 25, 16]",0
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | profession | income | assets,us_person_status,"[10, 18, 12, 7, 8, 15, 26, 9, 14, 25, 16, 0]",32
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | profession | income | assets | us_person_status,politically_exposed_person_status,"[10, 18, 12, 7, 8, 15, 26, 9, 14, 25, 16, 0, 32]",24
SESSION-013C22EF,full_name | mobile_phone_number | home_address | date_of_birth | email_address | identification_document_type | selfie_liveness_check | face_match_verification | identification_document_number | profession | income | assets | us_person_status | politically_exposed_person_status,terms_and_conditions_acceptance,"[10, 18, 12, 7, 8, 15, 26, 9, 14, 25, 16, 0, 32, 24]",31
SESSION-0171468F,full_name,email_address,[10],8
SESSION-0171468F,full_name | email_address,gender,"[10, 8]",11
SESSION-0171468F,full_name | email_address | gender,physical_address,"[10, 8, 11]",23
SESSION-0171468F,full_name | email_address | gender | physical_address,subscriber_type,"[10, 8, 11, 23]",30
SESSION-0171468F,full_name | email_address | gender | physical_address | subscriber_type,contact_phone_number,"[10, 8, 11, 23, 30]",5
SESSION-0171468F,full_name | email_address | gender | physical_address | subscriber_type | contact_phone_number,date_of_birth,"[10, 8, 11, 23, 30, 5]",7
SESSION-0171468F,full_name | email_address | gender | physical_address | subscriber_type | contact_phone_number | date_of_birth,identification_document,"[10, 8, 11, 23, 30, 5, 7]",13
SESSION-0171468F,full_name | email_address | gender | physical_address | subscriber_type | contact_phone_number | date_of_birth | identification_document,payment_method,"[10, 8, 11, 23, 30, 5, 7, 13]",21
SESSION-0171468F,full_name | email_address | gender | physical_address | subscriber_type | contact_phone_number | date_of_birth | identification_document | payment_method,phone_service_selection,"[10, 8, 11, 23, 30, 5, 7, 13, 21]",22
SESSION-0171468F,full_name | email_address | gender | physical_address | subscriber_type | contact_phone_number | date_of_birth | identification_document | payment_method | phone_service_selection,contract_type,"[10, 8, 11, 23, 30, 5, 7, 13, 21, 22]",6
SESSION-0171468F,full_name | email_address | gender | physical_address | subscriber_type | contact_phone_number | date_of_birth | identification_document | payment_method | phone_service_selection | contract_type,paperless_billing_preference,"[10, 8, 11, 23, 30, 5, 7, 13, 21, 22, 6]",20
SESSION-0171468F,full_name | email_address | gender | physical_address | subscriber_type | contact_phone_number | date_of_birth | identification_document | payment_method | phone_service_selection | contract_type | paperless_billing_preference,service_type,"[10, 8, 11, 23, 30, 5, 7, 13, 21, 22, 6, 20]",27
SESSION-0171468F,full_name | email_address | gender | physical_address | subscriber_type | contact_phone_number | date_of_birth | identification_document | payment_method | phone_service_selection | contract_type | paperless_billing_preference | service_type,subscriber_number,"[10, 8, 11, 23, 30, 5, 7, 13, 21, 22, 6, 20, 27]",29
SESSION-017499FF,mobile_phone_number,home_address,[18],12
SESSION-017499FF,mobile_phone_number | home_address,date_of_birth,"[18, 12]",7
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth,email_address,"[18, 12, 7]",8
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address,full_name,"[18, 12, 7, 8]",10
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name,selfie_liveness_check,"[18, 12, 7, 8, 10]",26
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name | selfie_liveness_check,face_match_verification,"[18, 12, 7, 8, 10, 26]",9
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name | selfie_liveness_check | face_match_verification,identification_document_type,"[18, 12, 7, 8, 10, 26, 9]",15
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name | selfie_liveness_check | face_match_verification | identification_document_type,identification_document_number,"[18, 12, 7, 8, 10, 26, 9, 15]",14
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number,income,"[18, 12, 7, 8, 10, 26, 9, 15, 14]",16
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number | income,profession,"[18, 12, 7, 8, 10, 26, 9, 15, 14, 16]",25
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number | income | profession,assets,"[18, 12, 7, 8, 10, 26, 9, 15, 14, 16, 25]",0
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number | income | profession | assets,politically_exposed_person_status,"[18, 12, 7, 8, 10, 26, 9, 15, 14, 16, 25, 0]",24
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number | income | profession | assets | politically_exposed_person_status,us_person_status,"[18, 12, 7, 8, 10, 26, 9, 15, 14, 16, 25, 0, 24]",32
SESSION-017499FF,mobile_phone_number | home_address | date_of_birth | email_address | full_name | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number | income | profession | assets | politically_exposed_person_status | us_person_status,terms_and_conditions_acceptance,"[18, 12, 7, 8, 10, 26, 9, 15, 14, 16, 25, 0, 24, 32]",31
SESSION-018917C3,date_of_birth,full_name,[7],10
SESSION-018917C3,date_of_birth | full_name,home_address,"[7, 10]",12
SESSION-018917C3,date_of_birth | full_name | home_address,mobile_phone_number,"[7, 10, 12]",18
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number,email_address,"[7, 10, 12, 18]",8
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number | email_address,selfie_liveness_check,"[7, 10, 12, 18, 8]",26
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number | email_address | selfie_liveness_check,face_match_verification,"[7, 10, 12, 18, 8, 26]",9
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number | email_address | selfie_liveness_check | face_match_verification,identification_document_type,"[7, 10, 12, 18, 8, 26, 9]",15
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number | email_address | selfie_liveness_check | face_match_verification | identification_document_type,identification_document_number,"[7, 10, 12, 18, 8, 26, 9, 15]",14
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number | email_address | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number,profession,"[7, 10, 12, 18, 8, 26, 9, 15, 14]",25
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number | email_address | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number | profession,income,"[7, 10, 12, 18, 8, 26, 9, 15, 14, 25]",16
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number | email_address | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number | profession | income,us_person_status,"[7, 10, 12, 18, 8, 26, 9, 15, 14, 25, 16]",32
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number | email_address | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number | profession | income | us_person_status,politically_exposed_person_status,"[7, 10, 12, 18, 8, 26, 9, 15, 14, 25, 16, 32]",24
SESSION-018917C3,date_of_birth | full_name | home_address | mobile_phone_number | email_address | selfie_liveness_check | face_match_verification | identification_document_type | identification_document_number | profession | income | us_person_status | politically_exposed_person_status,terms_and_conditions_acceptance,"[7, 10, 12, 18, 8, 26, 9, 15, 14, 25, 16, 32, 24]",31
SESSION-01C0A1DD,mobile_phone_number,home_address,[18],12
SESSION-01C0A1DD,mobile_phone_number | home_address,full_name,"[18, 12]",10
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name,email_address,"[18, 12, 10]",8
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address,date_of_birth,"[18, 12, 10, 8]",7
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth,identification_document_number,"[18, 12, 10, 8, 7]",14
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number,face_match_verification,"[18, 12, 10, 8, 7, 14]",9
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification,selfie_liveness_check,"[18, 12, 10, 8, 7, 14, 9]",26
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check,identification_document_type,"[18, 12, 10, 8, 7, 14, 9, 26]",15
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type,profession,"[18, 12, 10, 8, 7, 14, 9, 26, 15]",25
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type | profession,income,"[18, 12, 10, 8, 7, 14, 9, 26, 15, 25]",16
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type | profession | income,politically_exposed_person_status,"[18, 12, 10, 8, 7, 14, 9, 26, 15, 25, 16]",24
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type | profession | income | politically_exposed_person_status,us_person_status,"[18, 12, 10, 8, 7, 14, 9, 26, 15, 25, 16, 24]",32
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type | profession | income | politically_exposed_person_status | us_person_status,beneficial_owner_information,"[18, 12, 10, 8, 7, 14, 9, 26, 15, 25, 16, 24, 32]",1
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type | profession | income | politically_exposed_person_status | us_person_status | beneficial_owner_information,ownership_and_control_information,"[18, 12, 10, 8, 7, 14, 9, 26, 15, 25, 16, 24, 32, 1]",19
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type | profession | income | politically_exposed_person_status | us_person_status | beneficial_owner_information | ownership_and_control_information,commercial_address,"[18, 12, 10, 8, 7, 14, 9, 26, 15, 25, 16, 24, 32, 1, 19]",4
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type | profession | income | politically_exposed_person_status | us_person_status | beneficial_owner_information | ownership_and_control_information | commercial_address,terms_and_conditions_acceptance,"[18, 12, 10, 8, 7, 14, 9, 26, 15, 25, 16, 24, 32, 1, 19, 4]",31
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type | profession | income | politically_exposed_person_status | us_person_status | beneficial_owner_information | ownership_and_control_information | commercial_address | terms_and_conditions_acceptance,business_relationship_nature,"[18, 12, 10, 8, 7, 14, 9, 26, 15, 25, 16, 24, 32, 1, 19, 4, 31]",2
SESSION-01C0A1DD,mobile_phone_number | home_address | full_name | email_address | date_of_birth | identification_document_number | face_match_verification | selfie_liveness_check | identification_document_type | profession | income | politically_exposed_person_status | us_person_status | beneficial_owner_information | ownership_and_control_information | commercial_address | terms_and_conditions_acceptance | business_relationship_nature,business_relationship_purpose,"[18, 12, 10, 8, 7, 14, 9, 26, 15, 25, 16, 24, 32, 1, 19, 4, 31, 2]",3
SESSION-01E520F0,full_name,date_of_birth,[10],7
SESSION-01E520F0,full_name | date_of_birth,mobile_phone_number,"[10, 7]",18
SESSION-01E520F0,full_name | date_of_birth | mobile_phone_number,home_address,"[10, 7, 18]",12
SESSION-01E520F0,full_name | date_of_birth | mobile_phone_number | home_address,email_address,"[10, 7, 18, 12]",8
SESSION-01E520F0,full_name | date_of_birth | mobile_phone_number | home_address | email_address,identification_document_type,"[10, 7, 18, 12, 8]",15
SESSION-01E520F0,full_name | date_of_birth | mobile_phone_number | home_address | email_address | identification_document_type,face_match_verification,"[10, 7, 18, 12, 8, 15]",9
SESSION-01E520F0,full_name | date_of_birth | mobile_phone_number | home_address | email_address | identification_document_type | face_match_verification,selfie_liveness_check,"[10, 7, 18, 12, 8, 15, 9]",26
SESSION-01E520F0,full_name | date_of_birth | mobile_phone_number | home_address | email_address | identification_document_type | face_match_verification | selfie_liveness_check,identification_document_number,"[10, 7, 18, 12, 8, 15, 9, 26]",14
